# curie_map:
#   panet: https://w3id.org/PaN/PaNET/1.3.0/PaNET#
#   panetsource: https://w3id.org/PaN/PaNET/1.3.0/
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   hi: https://connect.helmholtz-imaging.de/application/
#   hisource: https://helmholtz-imaging.de
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_description: Manually curated alignment of the PaNET ontology with the Helmholtz Imaging Vocabulary.
#   Intended to be used for ontological analysis.
# mapping_set_id: https://github.com/pan-ontologies/PaNET/blob/master/mappings/mapping_HI.csv
# mapping_set_version: '2025-11-18'
# object_source: hisource:/
# subject_source: panetsource:PaNET.owl
# 
subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,object_source_version,mapping_date,confidence
panet:PaNET01129,tomography,skos:narrowMatch,hi:99,3D slicing tomography,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET01323,radiotherapy,skos:narrowMatch,hi:172,Adaptive radiotherapy,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET01129,tomography,skos:narrowMatch,hi:65,Bio-medical tomography,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET00410,medical application,skos:narrowMatch,hi:65,Bio-medical tomography,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET01106,imaging,skos:narrowMatch,hi:29,Cancer imaging,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET00410,medical application,skos:narrowMatch,hi:29,Cancer imaging,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET01106,imaging,skos:narrowMatch,hi:32,Cardiac imaging,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET00410,medical application,skos:narrowMatch,hi:32,Cardiac imaging,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET01174,coherent diffraction imaging,skos:closeMatch,hi:103,Coherent X-ray Scattering and Imaging,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET01106,imaging,skos:narrowMatch,hi:173,Drug imaging,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
panet:PaNET00410,medical application,skos:narrowMatch,hi:173,Drug imaging,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-11-06,1
