,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent,Equivalent,Equivalent,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range,Characteristic
,ID,A rdfs:label,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,SC %,SC %,SC %,SC %,SC %,SC %,SC %,EC %,EC %,EC %,DC %,TI %,I 'hasTechnique',SP %,DOMAIN,RANGE,CHARACTERISTIC SPLIT=|
,,,,,,,,,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,,,,,,,
1,http://purl.org/pan-science/PaNET/PaNET00001,photon and neutron technique,,,"A technique in the domain of neutron, muon and accelerator-based light sources",,owl:Class,owl:Thing,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2,http://purl.org/pan-science/PaNET/PaNET00002,defined by experimental probe,,,A technique defined by its experimental probe type,,owl:Class,,,,,,,,('definedbyprobe' some 'probe'),,,,,,,,,
3,http://purl.org/pan-science/PaNET/PaNET00003,defined by experimental physical process,,,A technique defined by a physical process,,owl:Class,,,,,,,,('definedbyprocess' some 'process'),,,,,,,,,
4,http://purl.org/pan-science/PaNET/PaNET00004,defined by functional dependence,,,A technique defined by its functional dependence,,owl:Class,,,,,,,,('definedbydependence' some 'functional dependence'),,,,,,,,,
5,http://purl.org/pan-science/PaNET/PaNET00005,defined by purpose,,,A technique defined by its goal or purpose,,owl:Class,,,,,,,,('supports' some 'purpose'),,,,,,,,,
6,http://purl.org/pan-science/PaNET/PaNET00006,defined by beam characteristic,,,A technique defined by its beam characteristic,,owl:Class,,,,,,,,('definedbycharacteristic' some 'beam characteristic'),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
100,http://purl.org/pan-science/PaNET/PaNET00100,photon probe-based techniques,,,"A technique using photons, which are elementary particles that are quanta of the electromagnetic field. Photons cover (list sorted by increasing wavelength): gamma radiation, x radiation, UV light, visible light, infrared light, microwaves, radiowaves and long radio waves. The different types are characterized by wavelength (nm), frequency (GHz), or energy (eV).",https://en.wikipedia.org/wiki/Photon,owl:Class,,,,,,,,('definedbyprobe' some 'photon'),,,,,,,,,
101,http://purl.org/pan-science/PaNET/PaNET00101,neutron probe-based techniques,,,,,owl:Class,,,,,,,,('definedbyprobe' some 'neutron'),,,,,,,,,
102,http://purl.org/pan-science/PaNET/PaNET00102,muon probe-based techniques,,,,,owl:Class,,,,,,,,('definedbyprobe' some 'muon'),,,,,,,,,
103,http://purl.org/pan-science/PaNET/PaNET00103,solid probe-based techniques,,,,,owl:Class,,,,,,,,('definedbyprobe' some PaNET:PaNET2011003),,,,,,,,,
107,http://purl.org/pan-science/PaNET/PaNET00107,positron probe-based techniques,,,"A technique using positrons, which are the antiparticles of electrons.",,owl:Class,,,,,,,,('definedbyprobe' some 'positron'),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
104,http://purl.org/pan-science/PaNET/PaNET00104,scanning probe-based techniques,,,,,owl:Class,,,,,,,,('definedbycharacteristic' some PaNET:PaNET2011004),,,,,,,,,
105,http://purl.org/pan-science/PaNET/PaNET00105,pulsed probe-based techniques,,,A technique for which a pulsed probe is essential,,owl:Class,,,,,,,,('definedbycharacteristic' some PaNET:PaNET2011005),,,,,,,,,
106,http://purl.org/pan-science/PaNET/PaNET00106,microfocused probe-based techniques,,,using a beam with dimensions in the micrometre range;may or may not result in a map (2D); see obtain high resolution map,,owl:Class,,,,,,,,('definedbycharacteristic' some PaNET:PaNET2011006),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
200,http://purl.org/pan-science/PaNET/PaNET00200,scattering-based techniques,,,Any phenomenon where a particle of the same type as the probe is emitted,,owl:Class,,,,,,,,('definedbyprocess' some 'scattering'),,,,,,,,,
201,http://purl.org/pan-science/PaNET/PaNET00201,emission-based techniques,,,Independent of probe; classed also as scattering if the probe and emitted particles are of the same type; disjoint with elastic scattering,,owl:Class,,,,,,,,('definedbyprocess' some 'emission'),,,,,,,,,
202,http://purl.org/pan-science/PaNET/PaNET00202,absorption-based techniques,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'absorption'),,,,,,,,,
203,http://purl.org/pan-science/PaNET/PaNET00203,propagation-based techniques,forward scattering technique,,,,owl:Class,,,,,,,,('definedbyprocess' some 'propagation'),,,,,,,,,
204,http://purl.org/pan-science/PaNET/PaNET00204,refraction-based techniques,,,,https://en.wikipedia.org/wiki/Refraction,owl:Class,,,,,,,,('definedbyprocess' some 'refraction'),,,,,,,,,
205,http://purl.org/pan-science/PaNET/PaNET00205,reflection-based techniques,,,,https://en.wikipedia.org/wiki/Reflection_(physics),owl:Class,,,,,,,,('definedbyprocess' some 'reflection'),,,,,,,,,
206,http://purl.org/pan-science/PaNET/PaNET00206,resonance phenomenon-based techniques,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'resonance phenomenon'),,,,,,,,,
207,http://purl.org/pan-science/PaNET/PaNET00207,magnetism-based techniques,,,,,owl:Class,,,,,,,,('supports' some 'magnetism study'),,,,,,,,,
208,http://purl.org/pan-science/PaNET/PaNET00208,dispersive-based techniques,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'dispersion'),,,,,,,,,
209,http://purl.org/pan-science/PaNET/PaNET00209,interferometry-based techniques,,,,,owl:Class,,,,,,,,('definedbyprocess' some 'interferometry'),,,,,,,,,
210,http://purl.org/pan-science/PaNET/PaNET00210,force measurement-based techniques,,,,,owl:Class,,,,,,,,('definedbyprocess' some PaNET:PaNET2012009),,,,,,,,,
211,http://purl.org/pan-science/PaNET/PaNET00211,nonlinear interaction-based techniques,,,,,owl:Class,,,,,,,,('definedbyprocess' some PaNET:PaNET2012010),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
300,http://purl.org/pan-science/PaNET/PaNET00300,versus energy-based techniques,,,,,owl:Class,,,,,,,,('definedbydependence' some 'energy'),,,,,,,,,
301,http://purl.org/pan-science/PaNET/PaNET00301,versus momentum transfer-based techniques,,,,,owl:Class,,,,,,,,('definedbydependence' some 'momentum transfer'),,,,,,,,,
302,http://purl.org/pan-science/PaNET/PaNET00302,versus polarization-based techniques,,,,,owl:Class,,,,,,,,('definedbydependence' some 'polarization'),,,,,,,,,
303,http://purl.org/pan-science/PaNET/PaNET00303,versus position-based techniques,,,,,owl:Class,,,,,,,,('definedbydependence' some 'position'),,,,,,,,,
304,http://purl.org/pan-science/PaNET/PaNET00304,versus time-based techniques,,,,,owl:Class,,,,,,,,('definedbydependence' some 'time'),,,,,,,,,
305,http://purl.org/pan-science/PaNET/PaNET00305,versus emission mass-based techniques,,,,,owl:Class,,,,,,,,('definedbydependence' some 'emission mass'),,,,,,,,,
306,http://purl.org/pan-science/PaNET/PaNET00306,versus sample state-based techniques,,,,,owl:Class,,,,,,,,('definedbydependence' some 'sample state'),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
400,http://purl.org/pan-science/PaNET/PaNET00400,obtain atomic structure-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014000),,,,,,,,,
401,http://purl.org/pan-science/PaNET/PaNET00401,obtain spatial map-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014001),,,,,,,,,
402,http://purl.org/pan-science/PaNET/PaNET00402,obtain electronic ground state properties-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014002),,,,,,,,,
403,http://purl.org/pan-science/PaNET/PaNET00403,obtain dynamics-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014003),,,,,,,,,
404,http://purl.org/pan-science/PaNET/PaNET00404,therapy-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014004),,,,,,,,,
405,http://purl.org/pan-science/PaNET/PaNET00405,drug fragment binding-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014005),,,,,,,,,
406,http://purl.org/pan-science/PaNET/PaNET00406,obtain internal field-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014006),,,,,,,,,
407,http://purl.org/pan-science/PaNET/PaNET00407,characterize excitations-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014007),,,,,,,,,
408,http://purl.org/pan-science/PaNET/PaNET00408,manufacturing-based techniques,,,,,owl:Class,,,,,,,,('supports' some 'manufacturing'),,,,,,,,,
409,http://purl.org/pan-science/PaNET/PaNET00409,testing-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014009),,,,,,,,,
410,http://purl.org/pan-science/PaNET/PaNET00410,medical application-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014010),,,,,,,,,
411,http://purl.org/pan-science/PaNET/PaNET00411,chiral determination-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2014011),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1000,http://purl.org/pan-science/PaNET/PaNET01000,time of flight-based techniques,TOF,,,,owl:Class,PaNET:PaNET00105,,,,,,,,,,,,,,,,
1001,http://purl.org/pan-science/PaNET/PaNET01001,neutron time of flight-based techniques,,,,,owl:Class,,,,,,,,('definedbyprobe' some 'neutron'),time of flight-based techniques,,,,,,,,
1002,http://purl.org/pan-science/PaNET/PaNET01002,ultrafast probe-based techniques,femtosecond probe,,,,owl:Class,,,,,,,,('definedbyprobe' some PaNET:PaNET2020000),,,,,,,,,
1003,http://purl.org/pan-science/PaNET/PaNET01003,single shot-based techniques,,,,,owl:Class,PaNET:PaNET00105,,,,,,,,,,,,,,,,
1004,http://purl.org/pan-science/PaNET/PaNET01004,nanofocused probe-based techniques,,,using a beam with dimensions in the nanometre range;may or may not result in a map (2D); see obtain ultra high resolution map,,owl:Class,,,,,,,,('definedbyprobe' some PaNET:PaNET2020001),,,,,,,,,
